,id,type,municipality,prov_code,latitude,longitude,Date,Risk
444,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,fiscaglia,FE,44.7988,11.9754,1/7/2014,
445,Sign-7979,pozzi con presenza di acqua calda,san prospero,MO,44.7879002,11.02289265,1/6/2013,
446,Sign-7979,pozzi con presenza di acqua calda,spilamberto,MO,44.5337143,11.02374056,1/6/2016,
447,Sign-7979,pozzi con presenza di acqua calda,baricella,BO,44.64706061,11.53455005,1/1/2013,
448,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,baricella,BO,44.64706061,11.53455005,1/4/2018,
449,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,bologna,BO,44.4943668,11.3417208,1/3/2015,
450,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,bologna,BO,44.4943668,11.3417208,1/3/2015,
451,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,bologna,BO,44.4943668,11.3417208,1/3/2015,
452,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,bologna,BO,44.4943668,11.3417208,1/3/2015,
453,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,bologna,BO,44.4943668,11.3417208,1/3/2015,
454,Sign-7979,pozzi con presenza di acqua calda,bologna,BO,44.4943668,11.3417208,1/1/2018,
455,Sign-7979,pozzi con presenza di acqua calda,bologna,BO,44.4943668,11.3417208,1/1/2018,
456,Sign-7979,pozzi con presenza di acqua calda,budrio,BO,44.53751606,11.53563979,1/4/2019,
457,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,crevalcore,BO,44.7226444,11.14703461,1/9/2014,
458,Sign-7979,pozzi con presenza di acqua calda,crevalcore,BO,44.7226444,11.14703461,1/10/2015,
459,Sign-7979,pozzi con presenza di acqua calda,medicina,BO,44.47644406,11.64047564,1/5/2018,
460,Sign-7979,,minerbio,BO,44.62520112,11.49080289,1/7/2016,
461,Sign-7979,pozzi con presenza di acqua calda,minerbio,BO,44.62520112,11.49080289,1/11/2018,
462,Sign-7979,pozzi con presenza di acqua calda,ozzano dell'emilia,BO,44.44483656,11.47820208,1/8/2015,
463,Sign-7979,pozzi con presenza di acqua calda,san giovanni in persiceto,BO,44.63877152,11.18779855,1/11/2012,
464,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,san giovanni in persiceto,BO,44.63877152,11.18779855,1/9/2015,
465,Sign-7979,pozzi con presenza di acqua calda,san lazzaro di savena,BO,44.47047676,11.40805744,1/3/2019,
466,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,argenta,FE,44.61443583,11.83704263,1/10/2020,
467,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,berra,FE,44.97935353,11.97857633,1/3/2013,
468,Sign-7979,vulcanetti di fango e/o sabbia,bondeno,FE,44.88521609,11.41846422,1/5/2014,
469,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,cento,FE,44.72755647,11.29060992,1/3/2017,
470,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,cento,FE,44.72755647,11.29060992,1/7/2014,
471,Sign-7979,pozzi con presenza di acqua calda,cento,FE,44.72755647,11.29060992,1/10/2018,
472,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,copparo,FE,44.89547576,11.82871999,1/1/2017,
473,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,copparo,FE,44.89547576,11.82871999,1/2/2013,
474,Sign-7979,,ferrara,FE,44.83599085,11.61868934,1/1/2015,
475,Sign-7979,vulcanetti di fango e/o sabbia,ferrara,FE,44.83599085,11.61868934,1/5/2016,
476,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,ferrara,FE,44.83599085,11.61868934,1/8/2013,
477,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,migliarino,missing,missing,missing,1/10/2012,
478,Sign-7979,vulcanetti di fango e/o sabbia,mirabello,missing,missing,missing,1/10/2013,
479,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,mirabello,missing,missing,missing,1/5/2013,
480,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,poggio renatico,FE,44.7647145,11.48545381,1/5/2017,
481,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,poggio renatico,FE,44.7647145,11.48545381,1/9/2012,
482,Sign-7979,pozzi con presenza di acqua calda,poggio renatico,FE,44.7647145,11.48545381,1/10/2018,
483,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,portomaggiore,FE,44.69780545,11.80577819,1/3/2016,
484,Sign-7979,vulcanetti di fango e/o sabbia,campagnola emilia,RE,44.84131327,10.75917028,1/5/2013,
485,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,correggio,RE,44.7713424,10.78121506,1/5/2014,
486,Sign-7979,pozzi con presenza di acqua calda,fabbrico,RE,44.87159776,10.80950419,1/11/2014,
487,Sign-7979,pozzi con presenza di acqua calda,guastalla,RE,44.92239814,10.65403902,1/6/2012,
488,Sign-7979,pozzi con presenza di acqua calda,novellara,RE,44.84512566,10.73188909,1/11/2018,
489,Sign-7979,pozzi con presenza di acqua calda,poviglio,RE,44.84080694,10.54151678,1/11/2014,
490,Sign-7979,pozzi con presenza di acqua calda,rio saliceto,RE,44.80931994,10.80290118,1/11/2014,
491,Sign-7979,vulcanetti di fango e/o sabbia,viano,RE,44.54828799,10.62040753,1/10/2014,
492,Sign-7979,vulcanetti di fango e/o sabbia,viano,RE,44.54828799,10.62040753,1/10/2014,
493,Sign-7979,vulcanetti di fango e/o sabbia,viano,RE,44.54828799,10.62040753,1/10/2014,
494,Sign-7979,pozzi con presenza di acqua calda,bastiglia,MO,44.72644995,10.99981167,1/1/2018,
495,Sign-7979,pozzi con presenza di acqua calda,bomporto,MO,44.72737543,11.04278703,1/9/2016,
496,Sign-7979,pozzi con presenza di acqua calda,bomporto,MO,44.72737543,11.04278703,1/8/2016,
497,Sign-7979,pozzi con presenza di acqua calda,bomporto,MO,44.72737543,11.04278703,1/5/2017,
498,Sign-7979,pozzi con presenza di acqua calda,camposanto,MO,44.78790421,11.13827895,1/10/2017,
499,Sign-7979,pozzi con presenza di acqua calda,camposanto,MO,44.78790421,11.13827895,1/8/2012,
500,Sign-7979,pozzi con presenza di acqua calda,carpi,MO,44.78247939,10.88526276,1/10/2012,
501,Sign-7979,pozzi con presenza di acqua calda,carpi,MO,44.78247939,10.88526276,1/10/2012,
502,Sign-7979,vulcanetti di fango e/o sabbia,cavezzo,MO,44.83770031,11.02990462,1/7/2014,
503,Sign-7979,pozzi con presenza di acqua calda,cavezzo,MO,44.83770031,11.02990462,1/10/2014,
504,Sign-7979,pozzi con presenza di acqua calda,concordia sulla secchia,MO,44.91223653,10.98281203,1/10/2017,
505,Sign-7979,pozzi con presenza di acqua calda,concordia sulla secchia,MO,44.91223653,10.98281203,1/9/2013,
506,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,concordia sulla secchia,MO,44.91223653,10.98281203,1/6/2014,
507,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,concordia sulla secchia,MO,44.91223653,10.98281203,1/3/2015,
508,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,concordia sulla secchia,MO,44.91223653,10.98281203,1/3/2015,
509,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,concordia sulla secchia,MO,44.91223653,10.98281203,1/3/2015,
510,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,finale emilia,MO,44.83221342,11.2957332,1/4/2016,
511,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,finale emilia,MO,44.83221342,11.2957332,1/4/2016,
512,Sign-7979,pozzi con presenza di acqua calda,finale emilia,MO,44.83221342,11.2957332,1/6/2013,
513,Sign-7979,pozzi con presenza di acqua calda,finale emilia,MO,44.83221342,11.2957332,1/1/2014,
514,Sign-7979,pozzi con presenza di acqua calda,finale emilia,MO,44.83221342,11.2957332,1/1/2014,
515,Sign-7979,pozzi con presenza di acqua calda,medolla,MO,44.84894472,11.07147687,1/10/2017,
516,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,medolla,MO,44.84894472,11.07147687,1/9/2014,
517,Sign-7979,pozzi con presenza di acqua calda,medolla,MO,44.84894472,11.07147687,1/10/2015,
518,Sign-7979,pozzi con presenza di acqua calda,medolla,MO,44.84894472,11.07147687,1/10/2015,
