intervention,location,label,amount_fin,has_agreement,agreement_label,agreement_date,instability_type,location_label,region,province,lat,long
http://dati.isprambiente.it/id/ihi/intervention/061/06,http://dati.isprambiente.it/id/place/4088,Lavori di sistemazione,485564.00,http://dati.isprambiente.it/id/ihi/agreement/061/06,DM 22/12/2004 (DS/2004/00626 - 10° stralcio),2004-12-22,Frana,Feisoglio,piemonte,cuneo,44.5448203355019,8.10383129802
http://dati.isprambiente.it/id/ihi/intervention/331/09,http://dati.isprambiente.it/id/place/71062,Sistemazione e risanamento zona Dietro le Mura - Via nuova di sotto,551000.00,http://dati.isprambiente.it/id/ihi/agreement/331/09,DM 10/11/2008 (DDS/DEC/2008/0855 - Ann. 2008),2008-11-10,Non definito,Volturino,puglia,foggia,41.4944663962434,15.1621165941344
http://dati.isprambiente.it/id/ihi/intervention/316/02,http://dati.isprambiente.it/id/place/103028,Opere di completamento della sistemazione idraulica torr. Bogna.,700000.00,http://dati.isprambiente.it/id/ihi/agreement/316/02,DM 29/04/2003 (DT/2003/00190 - 7° stralcio),2003-04-29,Alluvione,Domodossola,piemonte,verbano-cusio-ossola,46.1075249955327,8.27919588581227
http://dati.isprambiente.it/id/ihi/intervention/me076a/10,http://dati.isprambiente.it/id/place/83036,Opere di consolidamento e regimazione idraulica - Frazione Borgo,1500000.00,http://dati.isprambiente.it/id/ihi/agreement/me076a/10,AP Sicilia 30/03/2010,2010-03-30,Misto,Itala,sicilia,messina,38.0541736612755,15.4292002963225
http://dati.isprambiente.it/id/ihi/intervention/303/02,http://dati.isprambiente.it/id/place/14048,Formazione aree di laminazione (stralcio funzionale),258228.42,http://dati.isprambiente.it/id/ihi/agreement/303/02,DM 23/12/2002 (DT/2002/0304 - 6° stralcio),2002-12-23,Alluvione,Piantedo,lombardia,sondrio,46.1269888296349,9.4235215867389
http://dati.isprambiente.it/id/ihi/intervention/dait@21_2727/xm,http://dati.isprambiente.it/id/place/47007,INTERVENTO DI SISTEMAZIONE AREA CIRCOSTANTE IL CAMPO SPORTIVO DI MONTAGNANA PISTOIESE*VIA PER MONTAGNANA*INTERVENTO DI SISTEMAZIONE AREA CIRCOSTANTE IL CAMPO SPORTIVO DI MONTAGNANA PISTOIESE,40000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_2727/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Non definito,Marliana,toscana,pistoia,43.9511697150863,10.7894699164328
http://dati.isprambiente.it/id/ihi/intervention/16ir619/g1,http://dati.isprambiente.it/id/place/75073,Riduzione della pericolosità idraulica nel territorio comunale del Comune di Scorrano. II Stralcio,2500000.00,http://dati.isprambiente.it/id/ihi/agreement/16ir619/g1,Piano 2021 Puglia DM 497 30/11/2021,2021-11-30,Alluvione,Scorrano,puglia,lecce,40.0757512901079,18.2777457524414
http://dati.isprambiente.it/id/ihi/intervention/dait@21_0501/xm,http://dati.isprambiente.it/id/place/78145,MITIGAZIONE DEL RISCHIO IDROGEOLOGICO NEL CENTRO ABITATO DI TARSIA VERSANTE SUD-EST*VESRANTE SUD-EST CENTRO STORICO*OPERE DI MESSA IN SICUREZZA DAI DISSESTO IDROGEOLOGICO DEL VERSANTE SUD-EST A RIDOSSO DEL CENTRO ABITATO.  CLASSIFICATO A  RISCHIO FRANA R,997000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_0501/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Frana,Tarsia,calabria,cosenza,39.6348027377281,16.2776661676767
http://dati.isprambiente.it/id/ihi/intervention/333/02,http://dati.isprambiente.it/id/place/21061,Misure di protezione e di consolidamento per la messa in sicurezza della S.S. 242 per il Passo Sella ed una zona per insediamenti produttivi a Pontives  (così modificato da DM 24/07/13),1400000.00,http://dati.isprambiente.it/id/ihi/agreement/333/02,DM 29/04/2003 (DT/2003/00190 - 7° stralcio),2003-04-29,Frana,Ortisei,trentino-alto-adige,bolzano,46.5885803298259,11.6848502810259
http://dati.isprambiente.it/id/ihi/intervention/dait@21_1499/xm,http://dati.isprambiente.it/id/place/9005,VIA SALITA ARCARA - LOCALITA   BOGLIETTO*VIA SALITA ARCARA - LOC. BOGLIETTO*MESSA IN SICUREZZA DEL TERRITORIO A RISCHIO IDROGEOLOGICO IN LOCALITA   BOGLIETTO E SALITA ARCARA,195000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_1499/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Non definito,Altare,liguria,savona,44.3253033913214,8.33332018909698
