OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0139767905852)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0886015915008)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.130144695232)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.57821581471)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0794571490753)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0321763381706)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.272706688122)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.524466799128)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.390435034428)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0149073380957)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0681212210613)])
